SPIELER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,0/1,0,0,2,0,0,0
LÜTHI Flurin,0/4,0,0,,0,0,0
DÄHLER Nicolas,0,0,,2,0,0,0
KARLEN Laurent,6/12,0,50,2,0,0,0
Knöri Niklas,1/1,0,100,,1,1,0
Lehmann David,0/1,0,0,,0,0,0
HAUDENSCHILD Luis,1/1,0,100,,0,0,0
Sommer Luca,0,0,,,0,0,0
Caspar Simon,0/1,0,0,1,0,0,0
FREI Mael,0/1,0,0,,0,0,0
FRISCHKNECHT Lasse,3/4,0,75,1,0,0,0
Hodler Fynn,0,0,,,0,0,0
Waber Gian,0,0,,,0,0,0
Jenni Cédric,0,0,,,0,0,0
NEIGER Dominic,2/5,1/2,40,2,0,0,0
Strikcani Artan,0/1,0,0,1,0,0,0
Marthaler Ivan,1/1,0,100,1,0,0,0
