SPIELER,TORE,7M,%,TF,V,2',D
Klenja Emush,0,0,,,0,0,0
Antonietti Claudio,4/10,0,40,5,1,0,1
Neuenschwander Dominic,0,0,,,0,0,0
van den Nobelen Timon,1/4,0,25,,0,0,0
Bunke Seraphin,1/1,0,100,,0,0,0
Schenk Adrian,2/3,0,66,1,0,0,0
Gurtner Nicolas,0/2,0,0,,1,1,0
Römer Flavian,0/7,0,0,1,0,0,0
Kocher Roman,0/1,0,0,,0,0,0
Schär Nicola,3/7,0,42,,0,0,0
Stettler Tim,2/4,0,50,1,0,2,0
Baumann Yanic,1/8,0,12,3,0,0,0
Christen Keanu,2/5,0,40,1,0,1,0
Schöni Gregory,3/4,0,75,1,0,1,0
