SPIELER,TORE,7M,%,TF,V,2',D
Karlen Janes,0/1,0/1,0,,0,0,0
Kiener Lars,1/1,0,100,,0,0,0
Meier Aaron,0,0,,1,1,0,0
Schwab Yannick,2/3,0,66,,0,1,0
Stebler Urs,4/7,1/2,57,3,0,1,0
Lutz Nico,1/3,0,33,2,1,1,0
Gerber Alain,0,0,,,0,0,0
Giovanelli Marco,6/8,0,75,4,0,0,0
Lory Elias,1/2,0,50,1,0,0,0
Stettler Ramon,0,0,,1,0,0,0
Christinat Joël,5/11,0,45,1,0,1,0
Scheidegger Roman,0/2,0,0,1,0,0,0
Gruber Nino,3/8,0,37,,0,0,0
Drollinger Yannick,0/1,0,0,,0,0,0
