SPIELER,TORE,7M,%,TF,V,2',D
Wyttenbach Ivan,5/6,0,83,1,0,0,0
Forrer Steven,3/8,0,37,4,1,0,0
Zehr Tobias,1/3,0,33,2,0,0,0
van den Nobelen Timon,0/3,0,0,,0,2,0
Bunke Seraphin,3/4,0,75,,0,1,0
Antonietti Sandro,1/1,0,100,,0,0,0
Hug Dominique,0,0,,,0,0,0
Schär Nicola,0/2,0,0,1,0,1,0
Manz Remo,0,0,,,0,0,0
Lory Elias,10/14,0,71,2,0,0,0
Stüdle Nicolas,5/7,0,71,1,1,0,0
Gruber Nino,3/4,0,75,,1,1,0
Schöni Gregory,1/1,0,100,,0,1,0
