SPIELER,TORE,7M,%,TF,V,2',D
Meier Aaron,4/6,0,66,6,1,2,0
Meier Joris,2/4,0,50,1,0,0,0
Zehr Tobias,1/2,0,50,1,0,0,0
Schwab Yannick,0,0,,1,0,1,0
Bunke Seraphin,0/1,0,0,1,1,0,0
Lindner Jorden,0,0,,2,0,0,0
Antonietti Sandro,3/3,0,100,2,1,1,0
Hug Dominique,0,0,,,0,0,0
Schär Nicola,1/2,0,50,,0,0,0
Kiener Lars,1/3,0,33,1,0,0,0
Ruef Mauro,2/3,0,66,,0,0,0
Manz Remo,0,0,,,0,0,0
Lory Elias,4/9,2/3,44,1,0,0,0
Baumgartner Serafin,3/4,0,75,,0,1,0
