Sa,09.04.22,16:00
MU17E
SG,LakeSide,Wacker-Steffisburg
SPIELER,TORE,7M,%,TF,V,2',D
1,ZILIC,Marko,0,0,,,0,0,0
2,MARTHALER,Ivan,0,0,,,0,0,0
3,LÜTHI,Flurin,0,0,,1,0,0,0
5,BAUMANN,Joshua,6/13,0,46,2,0,0,0
6,KARLEN,Jean-Baptiste,10/18,0,55,2,0,0,0
13,NEIGER,Dominic,5/6,4/4,83,1,0,0,0
14,WABER,Gian,1/1,0,100,,0,0,0
15,FRISCHKNECHT,Lasse,0/1,0,0,1,0,0,0
17,LÄDRACH,Gregory,4/6,0,66,3,0,0,0
18,LICARI,Elia,0,0,,1,0,1,0
19,ROTH,Dominik,1/3,0,33,,1,0,0
21,RUSCH,David,1/2,0,50,,0,0,0
22,STRIKCANI,Artan,0,0,,1,0,0,0
""
TORHÜTER*IN,P/W,7M,%
1,ZILIC,Marko,10/38,0/1,27
""
STAFF,V,2',D
A,CASPAR,Adrian,0,0,0
B,HURNI,Gian-Luca,0,0,0
