SPIELER,TORE,7M,%,TF,V,2',D
Zuege Tim,0,0,,,0,0,0
Karlen Janes,4/8,0,50,,0,1,0
Forrer Steven,0/2,0/1,0,3,0,1,0
Felder Gabriel,4/6,0,66,4,0,0,0
Ruef Mauro,1/3,0,33,,0,0,0
Schwab Yannick,3/3,0,100,,0,2,0
Zehr Tobias,0/1,0,0,,0,0,0
Stettler Nils,0,0,,1,1,0,0
Giovanelli Marco,2/3,0,66,,0,0,0
Lory Elias,5/9,1/1,55,2,0,0,0
Stettler Ramon,0/1,0,0,,0,0,0
Christinat Joël,4/6,0,66,,0,0,0
Scheidegger Roman,1/1,0,100,3,0,0,0
Schöni Gregory,1/1,0,100,,0,1,0
Drollinger Yannick,0/1,0,0,,0,0,0
Stettler Jan,2/3,0,66,1,1,0,0
