SPIELER,TORE,7M,%,TF,V,2',D
Zuege Tim,0,0,,,0,0,0
Karlen Janes,1/3,0,33,,0,0,0
Forrer Steven,3/6,0/1,50,3,0,2,0
Felder Gabriel,5/6,0,83,,0,2,0
Ruef Mauro,0/1,0,0,,0,0,0
Schwab Yannick,1/1,0,100,1,0,1,0
Zehr Tobias,0,0,,,0,0,0
Stettler Nils,0,0,,1,1,0,0
Giovanelli Marco,4/11,0,36,1,0,0,0
Lory Elias,7/10,2/4,70,2,0,0,0
Stettler Ramon,0,0,,,0,0,0
Christinat Joël,1/3,0,33,,0,0,0
Scheidegger Roman,0/1,0,0,,0,0,0
Schöni Gregory,1/1,0,100,,0,0,0
Drollinger Yannick,1/2,0,50,,0,1,0
Stettler Jan,1/1,0,100,1,0,0,0
