SPIELER,TORE,7M,%,TF,V,2',D
Zitic Marko,0,0,,,0,0,0
Karlen Jean Baptiste,1/2,0,50,3,0,0,0
Lädrach Gregory Levin,0,0,,3,1,1,0
Baumann Joshua,1/1,0,100,,0,0,0
Rudin Sebastian,3/5,0,60,3,0,1,0
Zahm Justin John Werner,1/2,0,50,,0,0,0
Stettler Luc Eric,2/4,0,50,2,0,2,0
Plüss Thierry Lionardo Bonaventura,2/4,0,50,1,1,1,0
van den Nobelen Robin Till,0,0,,1,0,0,0
Grandi Davide,0,0,,,0,0,0
Roth Dominik,1/1,0,100,2,0,0,0
Egger David Philip,1/2,0,50,,0,0,0
Rusch David,0,0,,1,0,0,0
Adamina Lorin,4/4,0,100,2,0,0,0
