SPIELER,TORE,7M,%,TF,V,2',D
Klenja Emush,0,0,,,0,0,0
Orode Godwin Ayko,0/2,0,0,,1,1,0
Zehr Tobias,0/2,0,0,1,0,0,0
Chernov Ivan,7/9,0,77,1,0,0,0
Bunke Seraphin,1/2,0,50,,1,0,0
Gurtner Nicolas,3/5,0/1,60,,0,0,0
Antonietti Sandro,0/1,0,0,1,0,0,0
Stettler Nils,4/7,1/1,57,,0,0,0
Ruef Mauro,1/4,0,25,1,1,0,0
Gobeli Sven,0,0,,2,0,0,0
Lory Elias,5/10,0,50,2,0,0,0
Glücki Valentin,0/2,0,0,,0,0,0
Schöni Gregory,1/2,0,50,,0,0,0
Lindner Jorden,3/4,0,75,3,0,0,0
