SPIELER,TORE,7M,%,TF,V,2',D
Bouilloux Roman,1/1,0,100,,0,0,0
Linder Luca,0/1,0,0,,0,0,0
Felder Gabriel,0/1,0,0,1,0,0,0
Raemy Nicolas,9/11,0,81,7,0,0,0
Dähler Jonas,0,0,,,0,2,0
Sorgen Janick,1/1,0,100,,0,0,0
Lüthi Dario,0/2,0,0,2,0,1,0
Dannmeyer Max,3/6,0,50,2,0,0,0
von Deschwanden Lukas,1/4,0/2,25,2,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/2,0,50,2,1,0,0
Schwab Yannick,2/3,0,66,,0,1,0
Huwyler Stefan,1/1,0,100,,0,0,0
Gruber Nino,3/3,0,100,1,0,0,0
Chernov Ivan,0/1,0,0,1,1,0,0
Wick Flavio,0,0,,,0,0,0
