SPIELER,TORE,7M,%,TF,V,2',D
Bouilloux Roman,0,0,,,0,0,0
Felder Gabriel,0,0,,1,0,0,0
Raemy Nicolas,5/10,0,50,4,0,1,0
Dähler Jonas,4/7,0,57,,0,1,0
Sorgen Janick,1/1,0,100,,0,2,0
Lüthi Dario,0,0,,,0,0,0
Dannmeyer Max,8/12,0,66,1,0,0,0
Wyttenbach Ivan,0,0,,,0,0,0
Friedli Reto,1/1,0,100,,0,0,0
von Deschwanden Lukas,7/14,4/5,50,2,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,1/3,0,33,2,0,0,0
Schwab Yannick,2/2,0,100,,1,1,0
Gruber Nino,2/2,0,100,1,0,0,0
Chernov Ivan,2/3,0,66,,0,0,0
Wick Flavio,0/1,0,0,,0,0,0
