SPIELER,TORE,7M,%,TF,V,2',D
Gerber Alain Simon,0,0,,,0,0,0
Hirsch Elias Benjamin,0,0,,,0,0,0
Christen Keanu,2/5,0,40,,0,0,0
Zitic Marko,1/1,0,100,1,0,1,0
Roth Alexander,0/1,0,0,,1,0,0
Zuege Jan,1/3,0,33,1,0,0,0
Römer Flavian,1/2,0,50,1,0,1,0
Kuster Noël,3/3,0,100,,0,0,0
Stettler Nils Jonathan,3/3,0,100,1,0,0,0
Brenzikofer André,0,0,,,0,0,0
Baumann Yanic Simon,3/5,3/3,60,1,0,0,0
Schweizer Micha,1/3,0,33,,0,0,0
Schmutz Lukas,0,0,,1,0,0,0
Marti Rouven,3/4,0,75,1,1,0,0
Stettler Jan,0/1,0,0,,0,0,0
Hermann Janis Lukas,0,0,,,0,0,0
Karlen Lionel,2/2,1/1,100,,0,0,0
Dubach Cyrill,0,0,,,0,0,0
